PENGGUNAAN,TAHUN,NILBULAT
Non-Pertanian,2025,Rp. 3.629.000
Non-Pertanian,2025,Rp. 1.472.000
Non-Pertanian,2025,Rp. 1.704.000
Non-Pertanian,2025,Rp. 948.000
Pertanian,2025,Rp. 307.000
Non-Pertanian,2025,Rp. 1.465.000
Non-Pertanian,2025,Rp. 995.000
Non-Pertanian,2025,Rp. 777.000
Pertanian,2025,Rp. 278.000
Non-Pertanian,2025,Rp. 1.054.000
Non-Pertanian,2025,Rp. 1.207.000
Non-Pertanian,2025,Rp. 1.005.000
Non-Pertanian,2025,Rp. 1.559.000
Non-Pertanian,2025,Rp. 1.436.000
Non-Pertanian,2025,Rp. 1.181.000
Non-Pertanian,2025,Rp. 1.511.000
Non-Pertanian,2025,Rp. 783.000
Pertanian,2025,Rp. 637.000
Pertanian,2025,Rp. 449.000
Non-Pertanian,2025,Rp. 951.000
Non-Pertanian,2025,Rp. 888.000
Non-Pertanian,2025,Rp. 2.473.000
Non-Pertanian,2025,Rp. 1.829.000
Non-Pertanian,2025,Rp. 896.000
Non-Pertanian,2025,Rp. 2.291.000
Non-Pertanian,2025,Rp. 1.339.000
Non-Pertanian,2025,Rp. 1.907.000
Non-Pertanian,2025,Rp. 1.705.000
Non-Pertanian,2025,Rp. 1.471.000
Non-Pertanian,2025,Rp. 431.000
Non-Pertanian,2025,Rp. 1.153.000
Non-Pertanian,2025,Rp. 1.327.000
Non-Pertanian,2025,Rp. 1.130.000
Pertanian,2025,Rp. 459.000
Non-Pertanian,2025,Rp. 1.586.000
Non-Pertanian,2025,Rp. 1.927.000
Pertanian,2025,Rp. 697.000
Non-Pertanian,2025,Rp. 1.365.000
Non-Pertanian,2025,Rp. 1.285.000
Non-Pertanian,2025,Rp. 1.040.000
Non-Pertanian,2025,Rp. 2.245.000
Non-Pertanian,2025,Rp. 4.532.000
Non-Pertanian,2025,Rp. 2.338.000
Non-Pertanian,2025,Rp. 2.672.000
Non-Pertanian,2025,Rp. 2.487.000
Non-Pertanian,2025,Rp. 2.013.000
Non-Pertanian,2025,Rp. 3.104.000
Non-Pertanian,2025,Rp. 1.737.000
Non-Pertanian,2025,Rp. 4.294.000
Non-Pertanian,2025,Rp. 2.243.000
Non-Pertanian,2025,Rp. 3.532.000
Non-Pertanian,2025,Rp. 2.530.000
Non-Pertanian,2025,Rp. 1.829.000
Non-Pertanian,2025,Rp. 1.371.000
Non-Pertanian,2025,Rp. 3.487.000
Non-Pertanian,2025,Rp. 1.131.000
Non-Pertanian,2025,Rp. 687.000
Non-Pertanian,2025,Rp. 1.487.000
Non-Pertanian,2025,Rp. 1.891.000
Non-Pertanian,2025,Rp. 1.836.000
Non-Pertanian,2025,Rp. 1.422.000
Non-Pertanian,2025,Rp. 1.437.000
Non-Pertanian,2025,Rp. 2.343.000
Non-Pertanian,2025,Rp. 1.073.000
Non-Pertanian,2025,Rp. 2.325.000
Pertanian,2025,Rp. 464.000
Non-Pertanian,2025,Rp. 2.552.000
Non-Pertanian,2025,Rp. 1.574.000
Non-Pertanian,2025,Rp. 2.024.000
Non-Pertanian,2025,Rp. 2.019.000
Non-Pertanian,2025,Rp. 1.580.000
Non-Pertanian,2025,Rp. 1.054.000
Non-Pertanian,2025,Rp. 1.038.000
Pertanian,2025,Rp. 805.000
Non-Pertanian,2025,Rp. 1.137.000
Non-Pertanian,2025,Rp. 1.620.000
Non-Pertanian,2025,Rp. 1.963.000
Non-Pertanian,2025,Rp. 3.722.000
Non-Pertanian,2025,Rp. 1.898.000
Non-Pertanian,2025,Rp. 3.703.000
Non-Pertanian,2025,Rp. 3.575.000
Non-Pertanian,2025,Rp. 944.000
Non-Pertanian,2025,Rp. 918.000
Non-Pertanian,2025,Rp. 1.739.000
Non-Pertanian,2025,Rp. 1.192.000
Non-Pertanian,2025,Rp. 1.756.000
Non-Pertanian,2025,Rp. 855.000
Non-Pertanian,2025,Rp. 860.000
Pertanian,2025,Rp. 279.000
Non-Pertanian,2025,Rp. 1.028.000
Non-Pertanian,2025,Rp. 924.000
Non-Pertanian,2025,Rp. 1.324.000
Non-Pertanian,2025,Rp. 1.563.000
Non-Pertanian,2025,Rp. 949.000
Non-Pertanian,2025,Rp. 840.000
Non-Pertanian,2025,Rp. 1.867.000
Pertanian,2025,Rp. 140.000
Pertanian,2025,Rp. 272.000
Pertanian,2025,Rp. 89.000
Non-Pertanian,2025,Rp. 3.026.000
Non-Pertanian,2025,Rp. 1.170.000
Non-Pertanian,2025,Rp. 1.114.000
Non-Pertanian,2025,Rp. 1.710.000
Pertanian,2025,Rp. 269.000
Pertanian,2025,Rp. 459.000
Pertanian,2025,Rp. 298.000
Pertanian,2025,Rp. 382.000
Non-Pertanian,2025,Rp. 1.639.000
Non-Pertanian,2025,Rp. 1.961.000
Non-Pertanian,2025,Rp. 1.467.000
Non-Pertanian,2025,Rp. 2.327.000
Non-Pertanian,2025,Rp. 1.657.000
Non-Pertanian,2025,Rp. 1.270.000
Non-Pertanian,2025,Rp. 2.501.000
Non-Pertanian,2025,Rp. 1.665.000
Pertanian,2025,Rp. 479.000
Pertanian,2025,Rp. 439.000
Non-Pertanian,2025,Rp. 1.731.000
Non-Pertanian,2025,Rp. 1.096.000
Non-Pertanian,2025,Rp. 670.000
Non-Pertanian,2025,Rp. 1.002.000
Pertanian,2025,Rp. 497.000
Pertanian,2025,Rp. 412.000
Non-Pertanian,2025,Rp. 845.000
